date,reform,punitive,reform_velocity,punitive_velocity,cultural_velocity,cultural_velocity_smooth,year,month
2022-01-02,8.333333333333334,13.0,13.636363636363647,18.181818181818187,-4.54545454545454,-16.585179526355997,2022,1
2022-01-09,11.0,12.666666666666666,31.999999999999986,-2.564102564102566,34.564102564102555,-10.94616494616495,2022,1
2022-01-16,12.0,12.333333333333334,9.090909090909083,-2.631578947368407,11.72248803827749,13.913712018975168,2022,1
2022-01-23,13.0,12.666666666666666,8.333333333333325,2.7027027027026973,5.630630630630628,17.30574041100356,2022,1
2022-01-30,15.333333333333334,12.0,17.948717948717952,-5.263157894736836,23.211875843454788,13.521664837454301,2022,1
2022-02-06,13.666666666666666,12.0,-10.869565217391308,0.0,-10.869565217391308,5.990980418898036,2022,2
2022-02-13,18.333333333333332,17.666666666666668,34.14634146341464,47.22222222222223,-13.075880758807585,-0.24452337758136858,2022,2
2022-02-20,15.0,28.333333333333332,-18.181818181818176,60.377358490566024,-78.5591766723842,-34.1682075495277,2022,2
2022-02-27,28.333333333333332,20.0,88.88888888888889,-29.411764705882348,118.30065359477123,8.888532054526484,2022,2
2022-03-06,14.333333333333334,16.0,-49.41176470588234,-19.999999999999996,-29.411764705882344,3.443237405501564,2022,3
2022-03-13,10.666666666666666,13.666666666666666,-25.581395348837223,-14.583333333333337,-10.998062015503885,25.963608957795,2022,3
2022-03-20,10.666666666666666,14.0,0.0,2.4390243902439046,-2.4390243902439046,-14.28295037054338,2022,3
2022-03-27,13.0,12.0,21.875,-14.28571428571429,36.16071428571429,7.574542626655499,2022,3
2022-04-03,14.0,12.666666666666666,7.692307692307687,5.555555555555558,2.136752136752129,11.952814010740838,2022,4
2022-04-10,13.666666666666666,13.0,-2.3809523809523836,2.6315789473684292,-5.012531328320813,11.094978364715201,2022,4
2022-04-17,14.333333333333334,12.333333333333334,4.878048780487809,-5.128205128205121,10.00625390869293,2.3768249057080797,2022,4
2022-04-24,14.333333333333334,12.0,0.0,-2.7027027027027084,2.7027027027027084,2.565475094358273,2022,4
2022-05-01,13.333333333333334,12.333333333333334,-6.976744186046513,2.77777777777779,-9.754521963824303,0.984811549190443,2022,5
2022-05-08,12.333333333333334,12.666666666666666,-7.499999999999996,2.7027027027026973,-10.202702702702693,-5.751507321274765,2022,5
